05月11日 20:44	八圈	我最早看到的是一个叫 成都网友小张 发的。前面几张图的聊天记录里有效信息只有母亲自称是严书记家属让严书记开除老师。他最后放了张严春风的图。可这完全年龄对不上。网友脑子都是水煮的。那个小张，当互联网kpl这点基本功都不扎实，真是瞎扯淡。查一下该幼儿园所属教育部门里面的书记有没有姓严的才 ​ 展开全文c
05月11日 20:39	运动潮男	【幼儿园老师因惩罚“严书记”孩子被开除？同事：好好的 没开除】10日，网传成都市金苹果幼儿园老师在家长微信群称“让她（学生）单独坐一边”。该学生母亲称，你对“严书记”女儿说这话是什么意思？后又称该老师已经被开除。老师同事 称，该老师在正常上班，没被开除。L时间视频的秒拍视频 ​ 展开全文c
05月11日 20:38	戴大发DN	严夫人可把严书记坑了，教育孩子不是这么操作的。官运长久第一步，管好自己的家人，这个道理哥都知道。 ​
05月11日 20:38	初心不变阿稀稀	严书记的事要是有后续了求首页艾特哈哈哈，如此猪队友真是很少见了 ​
05月11日 20:38	哒哒哒哒哒哒大	#金苹果幼儿园#了解一下严书记三奶 ​
05月11日 20:37	不思議seiki	#金苹果幼儿园#厉害了 严书记 2日本·福冈市 ​
05月11日 20:37	敲响天堂之门JY	#广安严书记#我也要帮你火一把，人家别的娃娃考嘉祥那么难，你还那么得意，内定。。。你一定要火。今天当盘键盘侠，要让这种跋扈的官僚主义得到社会关注 2雅安 · 青江街区 ​
05月11日 20:36	司马3忌	金苹果幼儿园年度贡献烧脑大片：1、陈姝老师究竟有没有被金苹果幼儿园开除？2、孩子究竟是不是严书记的女儿？3、严文君妈妈究竟是不是严副书记的夫人？俺得承认，俺脑子不够用了…… ​
05月11日 20:30	喝风少女许弯逗	严书记这事 众网友处于道理我都懂，但是我就想看姨娘剧情的状态里 ​
05月11日 20:29	吃喝耍乐IN成都	#成都身边事# 成都金苹果爱弥儿幼儿园老师因惩罚“严书记”孩子被开除？ 同事：好好的，没开除…… 小伙伴们对此你怎么看？ ​
05月11日 20:28	浩姐很厉害	严书记。该想想接下来可以做什么了。严书记女儿的妈妈称自己是单身妈妈？所以就吓唬别人哦～ ​
05月11日 20:26	知音难觅对牛弹琴也难	幼儿园老师惩罚“严书记“女儿被开除？校方回应 O幼儿园老师惩罚"严书记"女儿被开除？校方回应 ​
05月11日 20:26	小鱼有点困	严书记 好凶哦 实在是惹不起 这么厉害的严书记难道不该给我们指导一下怎么教育娃娃吗#金苹果幼儿园# ​
05月11日 20:25	某稻草	#我爸是严书记#，书记夫人实力坑夫啊，不得不说霸气十足啊，O幼儿园老师惩罚"严书记"女儿被开除？校方回应 ​
05月11日 20:24	李怼怼的女人绝不认输	恭喜严夫人严书记c位出道 ​
05月11日 20:23	网易财经	【副书记女儿打同学被安排单坐 太太得知后通知学校开除老师】成都金苹果爱弥儿幼儿园副书记严春风的女儿打同班同学，被老师安排单独坐，此事引起严书记夫人不满。其他家长在微信群内纷纷规劝严夫人，但她依然不依不饶，最后学校决定开除该老师。 L凤凰网视频的秒拍视频 ​​​
05月11日 20:22	老纪有点傻	严书记知道他老婆这么牛逼吗？严书记知道他女儿这么霸道吗？严书记知道舆论对他很不利吗？严书记知道幼儿园长很为难吗？严书记知道上级注意此事了吗？谁认识严书记，最好告诉他一声:不懂事的媳妇趁早离掉。 ​
05月11日 20:16	短线6000	幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 O网页链接 ​
05月11日 20:12	与子同袍wl	严书记真牛，没一会儿关于金苹果幼儿园的热搜就没了 ​
05月11日 20:11	咿呀呦Oo小白	#金苹果幼儿园#这个热搜就没啦？严书记发功啦？ ​
05月11日 20:11	知道不888	幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除微成都 @成都发布 @共青团广安市委 @广安旅游官方资讯 严大书记出来走走吧，还有飞扬跋扈的严夫人 ​
05月11日 20:11	值得等待89	我爸是严书记！严书记的夫人很生气，后果很严重！成都金苹果爱弥儿幼儿园，严书记的女儿，也就是严千金打了同班很多同学，老师说要安排严千金单独坐结果发错了群，严夫人很生气，后果就是学校要开除老师。严书记，要不你回家劝劝你夫人？@紫光阁 ​
05月11日 20:09	水玲珑777	盐酥鸡原来不是盐酥鸡啊（害得我还以为有好吃的安利！哼）！而是严书记三奶？还是几奶？住600万豪宅……上50万幼儿园……果然反腐靠N奶啊……嗯…… ​
05月11日 20:07	卓卓Goddess	#金苹果幼儿园#严书记这官就是大，没一会就下热搜了 ​
05月11日 20:04	游猫饼	我和严书记很熟的我跟你讲 ​
05月11日 20:03	芯婧	#金苹果幼儿园#热搜呢，严书记热搜这么快没了 ​
05月11日 20:01	芯婧	#金苹果幼儿园# 热搜怎么没了，点击送严书记严夫人上热搜 ​
05月11日 20:00	碳碳C妈	严书记的严夫人竟然用1000多一部的手机....看来，夫人还是很贤惠的嘛#我爸严书记##严书记# ​
05月11日 22:51	加这个微博你就变学霸	【幼儿园老师惩罚“严书记”孩子被开除？校方：没开除】原标题：幼儿园老师因惩罚“严书记”孩子被开除？同事：好好的，没开除 10日，网传成都市一幼儿园老师在家长微信群称“让她（学生）单独坐一边”。O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月11日 22:51	雾锁江边柳	我正在看【幼儿园老师惩罚“严书记”孩子被开除？校方：没开除_手机凤凰网】，分享给你，一起看吧！ 幼儿园老师惩罚“严书记”孩子被开除？校方：没开除_手机凤凰网 O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月11日 22:43	nuskin慢静静	我爸是严书记！严书记的夫人很生气，后果很严重！成都金苹果爱弥儿幼儿园，严书记的女儿，也就是严千金打了同班很多同学，老师说要安排严千金单独坐结果发错了群，严夫人很生气，后果就是学校要开除老师。严书记！ ​
05月11日 22:39	唐B变学霸	【幼儿园老师惩罚“严书记”孩子被开除？校方：没开除】原标题：幼儿园老师因惩罚“严书记”孩子被开除？同事：好好的，没开除 10日，网传成都市一幼儿园老师在家长微信群称“让她（学生）单独坐一边”。O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月11日 22:36	林老蔫	截至目前，严书记的负面新闻还在微博上酝酿，可见现在副厅级压根真是人民公仆了。其实像严太太这种又傻又愣、张牙舞爪的官太太，比那些闷声发大财的官太太好太多，应予以保护❤️❤️❤️ ​
05月11日 22:35	女神鲸病	刚刚给我妈念严书记的瓜里面的聊天记录和下面的评论，我妈说我声音好牙尖，体内成都的那种牙尖的感觉出来了，我一惊，我不是一直都很牙尖吗哈哈哈哈哈我觉得我可能可以出道了，直播牙尖连麦吗我铁观音 ​
05月11日 22:35	夜猫子集中营	#立鸿鹄志# 要励志做严书记这样的人@紫光阁 @北京大学 @人民日报 2库尔勒 · 铁克其乡 ​
05月11日 22:30	何天恩	【幼儿园老师因惩罚“严书记”孩子被开除？同事：好好的，没开除】10日，网传成都市一幼儿园老师在家长微信群称“让她（学生）单独坐一边”。该学生母亲称，你对“严书记”女儿说这话是什么意思？后又称该老师已经被开除。老师同事回应称，该老师在正常上班，没有被开除。L时间视频的秒拍视频 ​
05月11日 22:29	下地大王	明天一早，杀空姐的畜生DNA结果指定没错！大家也骂过瘾了，也狠过瘾了，人反正也死了。全中国人都觉得不够过瘾，奶奶的！来，下个节目:把四川那个严书记牵出来走几步，给老少爷们乐一个！天天的给这个操心，给那个费心，真tmd累啊。。。 ​
05月11日 22:26	环球纪实	“我爸是严书记”转发30万窜上热搜，当地宣传部回应了！公众号 观察者网O“我爸是严书记”转发30万窜上热搜，当地宣传部回应了！ ​
05月11日 22:24	土圭垚火炎焱燚不明下落	晚上回到家徐2⃣️一脸忧郁“完了，我会不会被抓？”我一脸懵逼“什么被抓？”“你看没看严书记？红苹果那件事情”“看了啊，啥子红苹果，人家金苹果”“金苹果，微博出来了我第一个评论的，点赞都四百多了……”“卧槽，这么🐂逼，我要去给你点赞，你被抓了我要不要就你？我还要去找监狱里 ​ 展开全文c
05月11日 22:24	芙呈	最新消息，严书记在我们小区有房子，怪不得内定嘉祥小学，感情是离我们小区这套房近啊。到我们小区，可别打我儿子啊👦。 ​
05月11日 22:21	Mine39654	#严书记的女儿#严书记吓得下午赶紧离婚，一千万的房子归女方 ​
05月11日 22:19	机器宝珠	#金苹果 严书记#严书记，出来说清楚噢 2宜宾 · 罗曼大道 ​
05月11日 22:18	李东生Daway	“官”，好牛🐮啊！幼儿园老师惩罚“严书记”孩子被开除？校方：没开除_手机凤凰网 O幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月11日 22:18	panovo-香如故	#广安严书记#事到如今，舆论矛头自指广安市委一位领导。不论是否准确都已经在群众中起了非常恶劣的影响。但是，相关部门依旧是没有及时辟谣，或者及时向社会公开回应相关信息。危机公关，为什么做的还是这么差？ ​
05月11日 22:17	黄晓龙Ly	[夜读]幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 O[夜读]幼儿园老师惩罚“严书记”孩子被开除？校方：没开除 ​
05月11日 22:09	成都列五中学10届的小帅哥	严书记您先小心监察委小组同志找你喝茶 2成都 · 双楠 ​
05月11日 22:07	祖国花朵饲养员	严书记是我爸这个事情，让我匪夷所思啊，这个敏感的时间点，居然还有这么猪的队友，不是原配，还真不知道一路经历的腥风血雨啊，这下凉凉了！不知道多少人等着严书记的位置呢。就我所见几个当官的，没有一个不低调的，家里兄弟几个聚会，大哥还要教育小弟好好当值，别乱来的。 ​
05月11日 22:05	蒋义	严书记 副厅级 有点特权 没问题啊 你老50岁 女儿才5岁左右 贵夫人是第几任 合法吗话说这个级别的干部工资有多少 那幼儿园学费不低啊 你们家住哪里啊 房价是不是很高啊哈哈哈 ​
05月11日 22:01	新世纪绷带侠	#金苹果幼儿园# #严书记# 据说严书记热搜被撤了 是真的吗 这么厉害？ ​
